2025-03-06 10:28:08,651 INFO    Thread-338 (_run_job):6368 [wandb_setup.py:_flush():67] Current SDK version is 0.19.7
2025-03-06 10:28:08,652 INFO    Thread-338 (_run_job):6368 [wandb_setup.py:_flush():67] Configure stats pid to 6368
2025-03-06 10:28:08,652 INFO    Thread-338 (_run_job):6368 [wandb_setup.py:_flush():67] Loading settings from C:\Users\Siddhant\.config\wandb\settings
2025-03-06 10:28:08,652 INFO    Thread-338 (_run_job):6368 [wandb_setup.py:_flush():67] Loading settings from C:\da24m021_da6401_assignment1\wandb\settings
2025-03-06 10:28:08,652 INFO    Thread-338 (_run_job):6368 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-06 10:28:08,652 INFO    Thread-338 (_run_job):6368 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\da24m021_da6401_assignment1\wandb\run-20250306_102808-ah5aqzc0\logs\debug.log
2025-03-06 10:28:08,654 INFO    Thread-338 (_run_job):6368 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\da24m021_da6401_assignment1\wandb\run-20250306_102808-ah5aqzc0\logs\debug-internal.log
2025-03-06 10:28:08,654 INFO    Thread-338 (_run_job):6368 [wandb_init.py:init():761] calling init triggers
2025-03-06 10:28:08,654 INFO    Thread-338 (_run_job):6368 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation': 'sigmoid', 'batch_size': 32, 'dataset': 'fashion_mnist', 'dropout': 0, 'epochs': 10, 'hidden_size': 128, 'learning_rate': 0.001, 'loss': 'cross_entropy', 'num_layers': 5, 'optimizer': 'nag', 'weight_decay': 0.0001, 'weight_init': 'Xavier'}
config: {'_wandb': {}}
2025-03-06 10:28:08,654 INFO    Thread-338 (_run_job):6368 [wandb_init.py:init():784] starting backend
2025-03-06 10:28:08,655 INFO    Thread-338 (_run_job):6368 [wandb_init.py:init():788] sending inform_init request
2025-03-06 10:28:08,656 INFO    Thread-338 (_run_job):6368 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2025-03-06 10:28:08,657 INFO    Thread-338 (_run_job):6368 [wandb_init.py:init():803] backend started and connected
2025-03-06 10:28:08,658 INFO    Thread-338 (_run_job):6368 [wandb_run.py:_config_callback():1261] config_cb None None {'activation': 'sigmoid', 'batch_size': 32, 'dataset': 'fashion_mnist', 'dropout': 0, 'epochs': 10, 'hidden_size': 128, 'learning_rate': 0.001, 'loss': 'cross_entropy', 'num_layers': 5, 'optimizer': 'nag', 'weight_decay': 0.0001, 'weight_init': 'Xavier'}
2025-03-06 10:28:08,658 INFO    Thread-338 (_run_job):6368 [wandb_init.py:init():896] updated telemetry
2025-03-06 10:28:08,758 INFO    Thread-338 (_run_job):6368 [wandb_init.py:init():920] communicating run to backend with 90.0 second timeout
2025-03-06 10:28:09,677 INFO    Thread-338 (_run_job):6368 [wandb_init.py:init():995] starting run threads in backend
2025-03-06 10:28:09,860 INFO    Thread-338 (_run_job):6368 [wandb_run.py:_console_start():2377] atexit reg
2025-03-06 10:28:09,860 INFO    Thread-338 (_run_job):6368 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-06 10:28:09,860 INFO    Thread-338 (_run_job):6368 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-06 10:28:09,860 INFO    Thread-338 (_run_job):6368 [wandb_run.py:_redirect():2317] Redirects installed.
2025-03-06 10:28:09,860 INFO    Thread-338 (_run_job):6368 [wandb_init.py:init():1037] run started, returning control to user process
2025-03-06 10:28:09,860 INFO    Thread-338 (_run_job):6368 [wandb_run.py:_config_callback():1261] config_cb None None {'NAME': 'SIDDHANT BARANWAL', 'ROLL NO.': 'DA24M021'}
2025-03-06 10:29:11,211 INFO    Thread-338 (_run_job):6368 [wandb_run.py:_finish():2112] finishing run da24m021-indian-institute-of-technology-madras/da24m021_da6401_assignment1/ah5aqzc0
2025-03-06 10:29:11,211 INFO    Thread-338 (_run_job):6368 [wandb_run.py:_atexit_cleanup():2342] got exitcode: 0
2025-03-06 10:29:11,211 INFO    Thread-338 (_run_job):6368 [wandb_run.py:_restore():2324] restore
2025-03-06 10:29:11,212 INFO    Thread-338 (_run_job):6368 [wandb_run.py:_restore():2330] restore done
2025-03-06 10:29:14,008 INFO    MsgRouterThr:6368 [mailbox.py:close():115] Closing mailbox, abandoning 1 handles.
2025-03-06 10:29:14,008 INFO    Thread-338 (_run_job):6368 [wandb_run.py:_footer_history_summary_info():3958] rendering history
2025-03-06 10:29:14,009 INFO    Thread-338 (_run_job):6368 [wandb_run.py:_footer_history_summary_info():3990] rendering summary
2025-03-06 10:29:14,010 INFO    Thread-338 (_run_job):6368 [wandb_run.py:_footer_sync_info():3919] logging synced files
