2025-03-06 10:59:08,261 INFO    Thread-488 (_run_job):6368 [wandb_setup.py:_flush():67] Current SDK version is 0.19.7
2025-03-06 10:59:08,262 INFO    Thread-488 (_run_job):6368 [wandb_setup.py:_flush():67] Configure stats pid to 6368
2025-03-06 10:59:08,262 INFO    Thread-488 (_run_job):6368 [wandb_setup.py:_flush():67] Loading settings from C:\Users\Siddhant\.config\wandb\settings
2025-03-06 10:59:08,262 INFO    Thread-488 (_run_job):6368 [wandb_setup.py:_flush():67] Loading settings from C:\da24m021_da6401_assignment1\wandb\settings
2025-03-06 10:59:08,262 INFO    Thread-488 (_run_job):6368 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-06 10:59:08,262 INFO    Thread-488 (_run_job):6368 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\da24m021_da6401_assignment1\wandb\run-20250306_105908-xsh67vtu\logs\debug.log
2025-03-06 10:59:08,265 INFO    Thread-488 (_run_job):6368 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\da24m021_da6401_assignment1\wandb\run-20250306_105908-xsh67vtu\logs\debug-internal.log
2025-03-06 10:59:08,265 INFO    Thread-488 (_run_job):6368 [wandb_init.py:init():761] calling init triggers
2025-03-06 10:59:08,265 INFO    Thread-488 (_run_job):6368 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation': 'sigmoid', 'batch_size': 128, 'dataset': 'fashion_mnist', 'dropout': 0, 'epochs': 10, 'hidden_size': 32, 'learning_rate': 0.0001, 'loss': 'cross_entropy', 'num_layers': 4, 'optimizer': 'sgd', 'weight_decay': 0.0001, 'weight_init': 'Xavier'}
config: {'_wandb': {}}
2025-03-06 10:59:08,265 INFO    Thread-488 (_run_job):6368 [wandb_init.py:init():784] starting backend
2025-03-06 10:59:08,265 INFO    Thread-488 (_run_job):6368 [wandb_init.py:init():788] sending inform_init request
2025-03-06 10:59:08,266 INFO    Thread-488 (_run_job):6368 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2025-03-06 10:59:08,267 INFO    Thread-488 (_run_job):6368 [wandb_init.py:init():803] backend started and connected
2025-03-06 10:59:08,267 INFO    Thread-488 (_run_job):6368 [wandb_run.py:_config_callback():1261] config_cb None None {'activation': 'sigmoid', 'batch_size': 128, 'dataset': 'fashion_mnist', 'dropout': 0, 'epochs': 10, 'hidden_size': 32, 'learning_rate': 0.0001, 'loss': 'cross_entropy', 'num_layers': 4, 'optimizer': 'sgd', 'weight_decay': 0.0001, 'weight_init': 'Xavier'}
2025-03-06 10:59:08,269 INFO    Thread-488 (_run_job):6368 [wandb_init.py:init():896] updated telemetry
2025-03-06 10:59:08,357 INFO    Thread-488 (_run_job):6368 [wandb_init.py:init():920] communicating run to backend with 90.0 second timeout
2025-03-06 10:59:09,356 INFO    Thread-488 (_run_job):6368 [wandb_init.py:init():995] starting run threads in backend
2025-03-06 10:59:09,779 INFO    Thread-488 (_run_job):6368 [wandb_run.py:_console_start():2377] atexit reg
2025-03-06 10:59:09,779 INFO    Thread-488 (_run_job):6368 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-06 10:59:09,779 INFO    Thread-488 (_run_job):6368 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-06 10:59:09,779 INFO    Thread-488 (_run_job):6368 [wandb_run.py:_redirect():2317] Redirects installed.
2025-03-06 10:59:09,781 INFO    Thread-488 (_run_job):6368 [wandb_init.py:init():1037] run started, returning control to user process
2025-03-06 10:59:09,782 INFO    Thread-488 (_run_job):6368 [wandb_run.py:_config_callback():1261] config_cb None None {'NAME': 'SIDDHANT BARANWAL', 'ROLL NO.': 'DA24M021'}
2025-03-06 10:59:33,844 INFO    Thread-488 (_run_job):6368 [wandb_run.py:_finish():2112] finishing run da24m021-indian-institute-of-technology-madras/da24m021_da6401_assignment1/xsh67vtu
2025-03-06 10:59:33,844 INFO    Thread-488 (_run_job):6368 [wandb_run.py:_atexit_cleanup():2342] got exitcode: 0
2025-03-06 10:59:33,844 INFO    Thread-488 (_run_job):6368 [wandb_run.py:_restore():2324] restore
2025-03-06 10:59:33,844 INFO    Thread-488 (_run_job):6368 [wandb_run.py:_restore():2330] restore done
2025-03-06 10:59:36,255 INFO    MsgRouterThr:6368 [mailbox.py:close():115] Closing mailbox, abandoning 1 handles.
2025-03-06 10:59:36,256 INFO    Thread-488 (_run_job):6368 [wandb_run.py:_footer_history_summary_info():3958] rendering history
2025-03-06 10:59:36,256 INFO    Thread-488 (_run_job):6368 [wandb_run.py:_footer_history_summary_info():3990] rendering summary
2025-03-06 10:59:36,257 INFO    Thread-488 (_run_job):6368 [wandb_run.py:_footer_sync_info():3919] logging synced files
